CID_1,CID_2,MCC,TC,Kendall
CIDs56677003,CIDs00148195,-0.0003,0.230769,0.0
CIDs56677003,CIDs00003461,-0.0001,0.163347,-1.0
CIDs56677003,CIDs49867930,-0.0003,0.238281,0.0
CIDs56677003,CIDs00004261,-0.0007,0.262673,0.0
CIDs56677003,CIDs00005311,0.0447,0.171717,-0.4666666666666666
CIDs56677003,CIDs11955716,-0.0002,0.187215,0.6
CIDs56677003,CIDs49800198,-0.0001,0.203065,0.06666666666666665
CIDs56677003,CIDs76317450,-0.0001,0.2165349999999999,0.0
CIDs56677003,CIDs25227436,-0.0003,0.2921809999999999,0.2
CIDs56677003,CIDs24964624,0.1082,0.331897,1.0
CIDs56677003,CIDs00148177,0.122,0.0904761999999999,0.0
CIDs56677003,CIDs00093860,-0.0003,0.253112,0.0
CIDs56677003,CIDs11556711,-0.0004,0.196653,0.06666666666666665
CIDs56677003,CIDs25071599,-0.0001,0.278027,0.0
CIDs56677003,CIDs90667118,-0.0001,0.336207,0.0
CIDs56677003,CIDs00104842,-0.0008,0.277955,0.0
CIDs56677003,CIDs10302451,0.1064,0.374486,0.0
CIDs56677003,CIDs11213558,0.062,0.4,-1.0
CIDs56677003,CIDs03081361,0.0805,0.278481,-1.0
CIDs56677003,CIDs11167602,-0.0004,0.286307,0.0
CIDs56677003,CIDs56673688,0.5773,0.8279569999999999,0.0
CIDs56677003,CIDs00005515,-0.0002,0.283439,0.3333333333333334
CIDs56677003,CIDs72793174,-0.0001,0.219081,-0.06666666666666665
CIDs56677003,CIDs24978538,-0.0005,0.2401219999999999,0.19999999999999998
CIDs56677003,CIDs10126189,-0.0005,0.22695,0.0
CIDs56677003,CIDs11717001,-0.0003,0.2357409999999999,0.0
CIDs56677003,CIDs42611257,0.0759,0.273077,1.0
CIDs56677003,CIDs70685869,-0.0001,0.315126,-1.0
CIDs56677003,CIDs11656518,-0.0004,0.35865,-0.06666666666666665
CIDs56677003,CIDs11152667,-0.0003,0.206294,-0.06666666666666665
CIDs56677003,CIDs25194865,-0.0001,0.3773579999999999,0.0
CIDs56677003,CIDs17754438,-0.0005,0.32549,-0.39999999999999997
CIDs56677003,CIDs11494412,0.2084,0.215768,0.0
CIDs56677003,CIDs11597571,0.1523,0.332031,0.33333333333333337
CIDs56677003,CIDs24998177,-0.0001,0.405983,0.0
CIDs56677003,CIDs25262792,-0.0002,0.387234,0.6
CIDs56677003,CIDs00148191,-0.0001,0.169065,0.0
CIDs56677003,CIDs06442177,0.061,0.165468,0.19999999999999998
CIDs56677003,CIDs45375953,-0.0003,0.243542,0.0
CIDs56677003,CIDs11520894,0.1334,0.163823,0.0
CIDs56677003,CIDs11640390,0.1923,0.368421,0.0
CIDs56677003,CIDs45381890,0.7071,0.703883,0.0
CIDs56677003,CIDs56953069,-0.0001,0.282946,0.2
CIDs56677003,CIDs16659841,0.1621,0.313901,-0.19999999999999998
CIDs56677003,CIDs11707110,0.1168,0.289199,-1.0
CIDs56677003,CIDs10127622,0.0868,0.300752,0.3333333333333334
CIDs56677003,CIDs16719221,-0.0002,0.2380949999999999,-0.3333333333333333
CIDs56677003,CIDs67161792,-0.0001,0.302041,0.0
CIDs56677003,CIDs73294313,-0.0001,0.71875,1.0
CIDs56677003,CIDs15951529,-0.0003,0.2046329999999999,0.0
CIDs56677003,CIDs46893585,-0.0001,0.245614,0.0
CIDs56677003,CIDs15953870,-0.0004,0.230263,0.0
CIDs56677003,CIDs46244173,-0.0001,0.316794,0.0
CIDs56677003,CIDs46244453,-0.0001,0.32197,0.2
CIDs56677003,CIDs00001805,-0.0002,0.122363,-0.4666666666666666
CIDs56677003,CIDs46836568,-0.0001,0.253086,-1.0
CIDs56677003,CIDs49846579,-0.0003,0.332317,-0.33333333333333337
CIDs56677003,CIDs46930996,-0.0001,0.225397,0.0
CIDs56677003,CIDs67970189,-0.0001,0.245059,0.0
CIDs56677003,CIDs11327430,-0.0005,0.1623619999999999,1.0
CIDs56677003,CIDs00003310,-0.0005,0.18638,-1.0
CIDs56677003,CIDs56973724,-0.0003,0.29918,0.0
CIDs56677003,CIDs00003385,0.0281,0.134715,0.0
CIDs56677003,CIDs09933475,-0.0005,0.262295,-0.3333333333333334
CIDs56677003,CIDs05311497,0.0918,0.269231,1.0
CIDs56677003,CIDs24856436,-0.0004,0.368421,0.0
CIDs56677003,CIDs44381568,-0.0001,0.397321,0.2
CIDs56677003,CIDs00002719,-0.001,0.226131,0.19999999999999998
CIDs56677003,CIDs76321032,-0.0001,0.412017,0.0
CIDs56677003,CIDs56946894,-0.0001,0.403433,0.33333333333333337
CIDs56677003,CIDs00064780,-0.0002,0.210526,-1.0
CIDs56677003,CIDs00001690,-0.0001,0.214286,-1.0
CIDs56677003,CIDs10368812,-0.0001,0.216828,0.0
CIDs56677003,CIDs10163178,-0.0002,0.359504,0.0
CIDs56677003,CIDs00123631,0.0427,0.334802,-1.0
CIDs56677003,CIDs11375205,-0.0001,0.3417719999999999,0.3333333333333333
CIDs56677003,CIDs46224759,-0.0001,0.203125,0.0
CIDs56677003,CIDs00104741,0.0449,0.105485,0.0
CIDs56677003,CIDs00005376,0.0356,0.138889,0.0
CIDs56677003,CIDs74767926,-0.0001,0.295359,0.0
CIDs56677003,CIDs51039095,-0.0002,0.326446,-0.06666666666666665
CIDs56677003,CIDs16720766,-0.0007,0.245136,0.0
CIDs56677003,CIDs23725625,-0.0006,0.218254,0.9999999999999999
CIDs56677003,CIDs44199317,-0.0001,0.2,1.0
CIDs56677003,CIDs11625818,-0.0004,0.246429,0.0
CIDs56677003,CIDs17755052,-0.0004,0.318339,0.3333333333333334
CIDs56677003,CIDs00447654,-0.0003,0.614583,0.0
CIDs56677003,CIDs44449126,-0.0001,0.658163,1.0
CIDs56677003,CIDs56649450,-0.0004,0.278746,0.0
CIDs56677003,CIDs44137675,-0.0002,0.302419,1.0
CIDs56677003,CIDs54751698,-0.0003,0.148289,0.0
CIDs56677003,CIDs16654980,0.1238,0.389831,0.0
CIDs56677003,CIDs25033539,-0.0002,0.304183,0.33333333333333337
CIDs56677003,CIDs49867926,-0.0003,0.362205,0.0
CIDs56677003,CIDs58423153,-0.0001,0.176259,0.6
CIDs56677003,CIDs00176166,0.1311,0.203571,0.0
CIDs56677003,CIDs11519784,-0.0001,0.21831,0.0
CIDs00148195,CIDs00003461,-0.0008,0.156118,-0.3333333333333334
CIDs00148195,CIDs49867930,-0.0019,0.230453,0.4999999999999999
CIDs00148195,CIDs00004261,0.0185,0.219048,0.3333333333333333
CIDs00148195,CIDs00005311,0.0644,0.202247,-0.16666666666666666
CIDs00148195,CIDs11955716,0.0484,0.186275,0.3888888888888889
CIDs00148195,CIDs49800198,-0.0003,0.292576,-0.39999999999999997
CIDs00148195,CIDs76317450,-0.0006,0.293333,0.0
CIDs00148195,CIDs25227436,0.0297,0.339367,-0.05555555555555555
CIDs00148195,CIDs24964624,0.099,0.281938,0.0
CIDs00148195,CIDs00148177,0.0739,0.1164019999999999,0.6190476190476191
CIDs00148195,CIDs00093860,-0.002,0.32093,0.05555555555555555
CIDs00148195,CIDs11556711,0.0154,0.270142,0.0
CIDs00148195,CIDs25071599,-0.0005,0.2081449999999999,0.0
CIDs00148195,CIDs90667118,-0.0003,0.216667,0.0
CIDs00148195,CIDs00104842,0.0052,0.277592,0.0
CIDs00148195,CIDs10302451,0.0137,0.201521,0.0
CIDs00148195,CIDs11213558,-0.0052,0.207273,0.0
CIDs00148195,CIDs03081361,0.0721,0.2445409999999999,0.7999999999999999
CIDs00148195,CIDs11167602,0.0425,0.286344,0.14285714285714288
CIDs00148195,CIDs56673688,-0.0006,0.229008,0.0
CIDs00148195,CIDs00005515,-0.0012,0.2581699999999999,0.0
CIDs00148195,CIDs72793174,-0.0005,0.215613,1.0
CIDs00148195,CIDs24978538,0.0136,0.25,0.16666666666666666
CIDs00148195,CIDs10126189,0.0127,0.261538,0.1111111111111111
CIDs00148195,CIDs11717001,-0.0017,0.247967,0.42857142857142855
CIDs00148195,CIDs42611257,0.0676,0.282787,0.0
CIDs00148195,CIDs70685869,-0.0003,0.224066,-0.39999999999999997
CIDs00148195,CIDs11656518,0.0648,0.2357719999999999,0.4999999999999999
CIDs00148195,CIDs11152667,-0.0022,0.206642,0.05555555555555555
CIDs00148195,CIDs25194865,-0.0007,0.239819,0.16666666666666666
CIDs00148195,CIDs17754438,-0.0031,0.226054,0.33333333333333337
CIDs00148195,CIDs11494412,0.0637,0.3819099999999999,-0.5555555555555556
CIDs00148195,CIDs11597571,-0.0021,0.251938,0.3333333333333333
CIDs00148195,CIDs24998177,-0.0003,0.2292489999999999,0.0
CIDs00148195,CIDs25262792,-0.0014,0.2319999999999999,-0.2222222222222222
CIDs00148195,CIDs00148191,-0.0007,0.171756,-0.1111111111111111
CIDs00148195,CIDs06442177,0.0527,0.172414,-0.14285714285714288
CIDs00148195,CIDs45375953,0.025,0.172794,0.3333333333333333
CIDs00148195,CIDs11520894,0.0813,0.161871,0.2222222222222222
CIDs00148195,CIDs11640390,0.0284,0.225,0.0
CIDs00148195,CIDs45381890,-0.0005,0.316206,0.0
CIDs00148195,CIDs56953069,-0.0005,0.315126,0.0
CIDs00148195,CIDs16659841,-0.002,0.20614,0.3333333333333333
CIDs00148195,CIDs11707110,0.0706,0.2137929999999999,0.3333333333333333
CIDs00148195,CIDs10127622,0.0509,0.256705,0.05555555555555555
CIDs00148195,CIDs16719221,-0.0014,0.197232,-0.21428571428571427
CIDs00148195,CIDs67161792,0.1101,0.280851,0.0
CIDs00148195,CIDs73294313,-0.0003,0.233202,0.0
CIDs00148195,CIDs15951529,0.0212,0.251064,0.0
CIDs00148195,CIDs46893585,-0.0006,0.229927,0.0
CIDs00148195,CIDs15953870,0.0168,0.236111,0.0
CIDs00148195,CIDs46244173,-0.0006,0.248092,0.0
CIDs00148195,CIDs46244453,-0.0003,0.244361,0.6
CIDs00148195,CIDs00001805,-0.001,0.107143,0.2857142857142857
CIDs00148195,CIDs46836568,-0.0003,0.227848,-0.4666666666666666
CIDs00148195,CIDs49846579,0.0227,0.2396449999999999,0.2
CIDs00148195,CIDs46930996,-0.0006,0.135802,0.5
CIDs00148195,CIDs67970189,-0.0003,0.232365,0.0
CIDs00148195,CIDs11327430,-0.003,0.178571,0.0
CIDs00148195,CIDs00003310,-0.0032,0.227451,0.0
CIDs00148195,CIDs56973724,-0.0018,0.22541,0.0
CIDs00148195,CIDs00003385,0.0446,0.0923913,0.0
CIDs00148195,CIDs09933475,0.0573,0.2340429999999999,0.0
CIDs00148195,CIDs05311497,0.0687,0.317507,0.0
CIDs00148195,CIDs24856436,-0.0025,0.2441469999999999,0.05555555555555555
CIDs00148195,CIDs44381568,-0.0005,0.2040819999999999,0.0
CIDs00148195,CIDs00002719,0.0314,0.2625699999999999,0.33333333333333337
CIDs00148195,CIDs76321032,-0.0003,0.205426,0.0
CIDs00148195,CIDs56946894,-0.0003,0.207031,-0.19999999999999998
CIDs00148195,CIDs00064780,-0.0012,0.193431,0.0
CIDs00148195,CIDs00001690,-0.0006,0.2107139999999999,0.0
CIDs00148195,CIDs10368812,-0.0005,0.238754,0.0
CIDs00148195,CIDs10163178,0.0745,0.214844,0.0
CIDs00148195,CIDs00123631,0.0405,0.202532,-0.05555555555555555
CIDs00148195,CIDs11375205,-0.0006,0.260504,0.0
CIDs00148195,CIDs46224759,-0.0007,0.428571,0.0
CIDs00148195,CIDs00104741,0.0216,0.22,-0.33333333333333337
CIDs00148195,CIDs00005376,0.0373,0.193717,0.0
CIDs00148195,CIDs74767926,-0.0005,0.278761,0.0
CIDs00148195,CIDs51039095,-0.0016,0.283898,-0.07142857142857142
CIDs00148195,CIDs16720766,0.0073,0.237705,-0.16666666666666666
CIDs00148195,CIDs23725625,0.052,0.284444,0.1111111111111111
CIDs00148195,CIDs44199317,-0.0005,0.3150679999999999,0.0
CIDs00148195,CIDs11625818,0.0598,0.249057,0.7142857142857143
CIDs00148195,CIDs17755052,0.0757,0.186275,-0.2
CIDs00148195,CIDs00447654,-0.0018,0.216667,0.0
CIDs00148195,CIDs44449126,-0.0003,0.199219,0.0
CIDs00148195,CIDs56649450,0.0199,0.31203,0.0
CIDs00148195,CIDs44137675,-0.0011,0.260331,0.0
CIDs00148195,CIDs54751698,-0.0018,0.193277,0.0
CIDs00148195,CIDs16654980,0.0945,0.2204719999999999,0.0
CIDs00148195,CIDs25033539,0.0391,0.203704,-0.1111111111111111
CIDs00148195,CIDs49867926,0.061,0.179856,0.4285714285714286
CIDs00148195,CIDs58423153,-0.0006,0.207031,-1.0
CIDs00148195,CIDs00176166,0.0592,0.351695,0.0
