Cell_lines,CIDs,IC50,Average_IC50,Tissue,logIC50
22RV1,CIDs11375205,[0.2747],0.2747,prostate,0.5611413405794381
22RV1,CIDs15951529,"[0.2514, 0.7011, 2.514, 2.525]",1.49788,prostate,-0.1754770220247716
22RV1,CIDs16659841,"[1.337, 1.396, 1.604, 2.079]",1.604,prostate,-0.2052043639481448
22RV1,CIDs25227436,"[0.04478, 0.1404, 0.213, 0.2217, 0.2343, 0.2836, 0.2849, 0.3152, 0.3172, 0.3242, 0.3771, 0.3793, 0.4517, 0.7055]",0.30663,prostate,0.5133853569927977
22RV1,CIDs51039095,"[1.044, 4.111]",2.5775,prostate,-0.4111986739555541
22RV1,CIDs58423153,"[0.2824, 0.379, 0.7537, 0.8]",0.55378,prostate,0.2566627330369655
647V,CIDs00005515,"[0.0008511, 0.001651, 0.002452, 0.1231]",0.03201,urinary tract,1.4947143258558675
647V,CIDs15953870,"[0.1935, 0.2327, 0.3819, 0.4119, 0.643, 0.6489, 1.329, 2.54, 5.025]",1.26732,urinary tract,-0.1028862886696622
647V,CIDs23725625,"[0.3069, 1.066, 1.128, 1.488, 2.727, 4.943, 5.739, 6.224, 8.956, 11.2, 300.5]",31.29799,urinary tract,-1.4955164474525675
647V,CIDs46244453,"[1.088, 1.202, 2.194, 2.359, 2.503, 2.746, 2.816, 3.181, 3.671, 5.732, 12.96]",3.67745,urinary tract,-0.5655467766078028
A549,CIDs00001690,"[0.0338, 0.03431, 0.03499, 0.03555, 0.05955]",0.0396399999999999,lung,1.4018663541867624
A549,CIDs00003461,"[0.005383, 0.007954]",0.00667,lung,2.175874166083451
A549,CIDs00123631,[0.0425],0.0425,lung,1.3716110699496884
A549,CIDs05311497,[0.08601],0.08601,lung,1.0654510523338532
A549,CIDs11152667,"[0.5839, 0.6483, 10.16, 30.66]",10.51305,lung,-1.0217287299205269
A549,CIDs11327430,"[0.008991, 0.01509, 0.2127]",0.07893,lung,1.1027578971946346
A549,CIDs11375205,[0.6547],0.6547,lung,0.1839576590780034
A549,CIDs11707110,"[0.01081, 0.01159]",0.0112,lung,1.9507819773298185
A549,CIDs23725625,[1.079],1.079,lung,-0.0330214446829106
A549,CIDs24964624,[0.01673],0.01673,lung,1.7765040590376049
A549,CIDs25227436,[55.83],55.83,lung,-1.7468676278504294
A549,CIDs25262792,"[0.7003, 0.7075, 0.8981]",0.76863,lung,0.1142826688175548
A549,CIDs44137675,[0.8805],0.8805,lung,0.0552706396967043
A549,CIDs44199317,[1.118],1.118,lung,-0.0484418035504044
A549,CIDs44381568,[2.866],2.866,lung,-0.4572761860613257
A549,CIDs46244453,"[1.226, 1.363, 1.803, 5.191]",2.39575,lung,-0.3794414968202845
A549,CIDs46836568,"[0.0131, 0.01334, 0.01681, 0.017, 0.0244, 0.03453]",0.01986,lung,1.7020207558406375
A549,CIDs49846579,"[0.1815, 1.084]",0.63275,lung,0.1987678461697081
A549,CIDs56673688,[1.607],1.607,lung,-0.2060158767633445
A549,CIDs58423153,[0.6598],0.6598,lung,0.1805876887906748
BFTC905,CIDs00005515,"[0.001318, 0.002377, 0.003734, 0.00381, 0.004691, 0.004874, 0.006449]",0.00389,urinary tract,2.4100503986742923
BFTC905,CIDs23725625,"[0.01255, 0.6535, 1.057, 1.158, 1.171, 1.211, 1.604, 1.906, 3.017, 3.892, 4.405, 5.236, 12.06, 225.8]",18.79879,urinary tract,-1.2741298964320444
BT20,CIDs00002719,"[0.643, 1.063, 1.078, 1.778]",1.1405,breast,-0.0570952896126674
BT20,CIDs00003461,[0.00296],0.00296,breast,2.5287082889410613
BT20,CIDs00005376,"[0.04141, 0.447]",0.2442099999999999,breast,0.6122365563784435
BT20,CIDs00104741,[0.04772],0.04772,breast,1.3212995650016957
BT20,CIDs00123631,"[0.05078, 0.06413, 0.07283, 0.6243]",0.20301,breast,0.6924825687968685
BT20,CIDs06442177,"[8.485e-05, 9.506e-05]",9e-05,breast,4.045757490560675
BT20,CIDs10163178,"[0.005924, 0.0086, 0.009573, 0.01033, 0.01218, 0.02478, 0.02653, 0.03808]",0.017,breast,1.7695510786217257
BT20,CIDs11152667,[0.3922],0.3922,breast,0.4064924106682348
BT20,CIDs11375205,"[0.00762, 0.01174, 0.01232, 0.02111, 0.125, 0.1365, 0.1694, 0.1703, 0.1753, 0.2433, 0.2748, 0.2761, 0.3168]",0.14925,breast,0.8260856601985933
BT20,CIDs23725625,"[0.4711, 0.896, 0.9616, 1.466, 1.714, 34.56, 36.12]",10.8841,breast,-1.0367925232996238
BT20,CIDs46224759,"[0.02712, 0.05574, 0.1785, 0.2103, 0.3749, 0.9297]",0.29604,breast,0.5286496044626391
BT20,CIDs56946894,"[0.00791, 0.01124, 0.01185]",0.0103299999999999,breast,1.9858996784803795
BT20,CIDs58423153,"[0.06558, 0.07973, 0.1488, 0.2611, 0.3576, 0.5778, 3.358]",0.69266,breast,0.1594798914462601
BT20,CIDs67161792,"[0.17, 0.2043, 0.2828, 0.4094, 0.4133, 0.5192, 2.91]",0.70129,breast,0.1541023538515138
BT20,CIDs67970189,"[0.03422, 0.03595, 0.04041, 0.04158, 0.04362, 0.04408, 0.04674, 0.0491]",0.04196,breast,1.3771645204784797
BT20,CIDs70685869,[0.8529],0.8529,breast,0.0691018855898954
BT20,CIDs73294313,"[0.3707, 1.782, 2.232, 5.024, 10.72]",4.02574,breast,-0.6048457228100772
BT20,CIDs74767926,"[0.09845, 0.09946, 0.1032, 0.118, 0.2033, 0.3362, 0.4666, 0.7013]",0.26581,breast,0.5754286845553435
BT20,CIDs76317450,[0.313],0.313,breast,0.5044556624535516
BT474,CIDs00001805,"[0.02467, 0.05561, 0.1276, 0.2335, 0.2474, 0.2973, 0.3098, 0.3216]",0.20219,breast,0.6942403277371784
BT474,CIDs00003461,[0.003368],0.00337,breast,2.472370099128661
BT474,CIDs00004261,"[0.3439, 0.3528, 0.358, 0.4061, 0.421, 0.4527, 0.5652, 0.8853, 0.9832]",0.5298,breast,0.2758880460387877
BT474,CIDs00005311,"[0.05901, 0.1051]",0.08206,breast,1.085868487369106
BT474,CIDs00093860,"[0.0001909, 0.0002199, 0.0003741, 0.0004163, 0.003457, 0.003504, 0.003534, 0.003536, 0.003637, 0.003641, 0.003653]",0.00238,breast,2.623423042943488
BT474,CIDs00123631,"[0.1336, 0.134, 0.1342, 0.1395, 0.1409, 0.1412, 0.1427, 0.1446, 0.145, 0.1469, 0.148, 0.15, 0.1506, 0.1507, 0.1514, 0.1548, 0.1562, 0.1564, 0.1589, 0.1596, 0.1604, 0.1622, 0.1623, 0.1624, 0.1635, 0.1643, 0.1644, 0.1651, 0.1658, 0.1662, 0.1683, 0.1694, 0.1702, 0.2299, 0.264, 0.2704]",0.16244,breast,0.7893070191820006
BT474,CIDs00148177,"[0.002399, 0.009109, 0.02201, 0.06658, 0.8126, 2.496]",0.56812,breast,0.2455599216244348
BT474,CIDs00148191,"[0.0008335, 0.002207, 0.002965, 0.00298, 0.003075, 0.003183, 0.003281, 0.003336, 0.003374, 0.003461, 0.003702]",0.00295,breast,2.530177984021837
BT474,CIDs00148195,"[0.037, 0.08225, 0.1451, 0.1692, 0.1747, 0.2152, 0.2585, 0.259, 0.2682, 0.2739, 0.3067]",0.19907,breast,0.7009941835493629
BT474,CIDs00176166,"[0.05333, 0.4996]",0.27647,breast,0.558351987474352
BT474,CIDs03081361,"[0.0008072, 0.0009119, 0.003863, 0.005653, 0.006081, 0.008164, 0.009666, 0.01144, 0.03375, 0.04584, 0.04886, 0.05054, 0.06153, 0.08343, 0.08348, 0.09455, 0.1215, 0.3208, 0.6474, 1.421, 1.495, 4.52]",0.41247,breast,0.3846076333158885
BT474,CIDs10126189,"[0.00959, 0.009628, 0.009924, 0.01018, 0.01335, 0.01361, 0.01367, 0.01382, 0.014]",0.01197,breast,1.9219058495935888
BT474,CIDs11152667,"[0.1974, 0.207, 0.2185, 0.22, 0.2267, 0.2362, 0.2379, 0.2479, 0.2503, 0.2533, 0.2551, 0.257, 0.2571, 0.2575, 0.26, 0.2619, 0.2624, 0.2641, 0.2654, 0.2685, 0.2699, 0.2709, 0.2739, 0.2751, 0.2781, 0.2807, 0.2808, 0.2809, 0.2822, 0.2828, 0.2837, 0.2856, 0.2939, 0.3161, 0.5099]",0.26768,breast,0.5723840763816807
BT474,CIDs11167602,"[0.1898, 0.2718, 0.3509, 0.3666, 0.4554]",0.3269,breast,0.4855850794196311
BT474,CIDs11375205,"[0.0522, 0.06405, 0.06993, 0.07355, 0.07399, 0.07664, 0.07863, 0.08419, 0.08539, 0.08624, 0.08786, 0.08847, 0.08952, 0.09036, 0.09278, 0.09301, 0.09503, 0.09571, 0.09651, 0.09673, 0.1011, 0.1015, 0.1023, 0.1026, 0.1035, 0.104, 0.1056, 0.1074, 0.1077, 0.1089, 0.11, 0.1113, 0.1118, 0.1127, 0.1143, 0.1288, 0.4137, 0.4286, 0.4349, 0.5672]",0.13122,breast,0.8819999665787193
BT474,CIDs11494412,"[0.3315, 0.3333, 0.3348, 0.3742, 0.512, 0.5276, 0.5963, 0.6007, 2.256]",0.65182,breast,0.1858723180709655
BT474,CIDs11520894,"[0.001072, 0.001232, 0.001509, 0.002545, 0.002926, 0.003036, 0.003149, 0.003221, 0.003483, 0.004042]",0.00262,breast,2.5816987086802548
BT474,CIDs11556711,"[0.001183, 0.004565, 0.004597, 0.0046, 0.004615, 0.004698, 0.004884, 0.004908, 0.005214, 0.007074, 0.007529]",0.0049,breast,2.3098039199714857
BT474,CIDs11597571,"[0.04509, 0.3414, 0.3609, 0.7874, 0.8318]",0.4733199999999999,breast,0.3248451441562917
BT474,CIDs11625818,"[0.00503, 0.01776, 0.06948, 0.3105, 0.3141, 0.3262, 0.3331, 0.5522, 0.691]",0.29104,breast,0.5360473182805916
BT474,CIDs11656518,"[0.1023, 0.1068, 0.1084, 0.1264, 0.1327, 0.1467, 0.2615]",0.14069,breast,0.851736770363121
BT474,CIDs11717001,"[0.06363, 0.07902, 0.2896]",0.1440799999999999,breast,0.8413963001885232
BT474,CIDs11955716,"[0.0376, 0.03793, 0.04038, 0.04266, 0.04451, 0.04571, 0.04636, 0.04863, 0.04901, 0.04939, 0.05063]",0.0448,breast,1.348721986001856
BT474,CIDs16659841,"[0.0003755, 0.0025, 0.004128, 0.008018, 0.02131, 0.03614, 0.05981, 0.0667, 0.09899, 0.6042, 0.6758, 1.196, 1.586, 13.7]",1.29,breast,-0.1105897102992489
BT474,CIDs16719221,"[0.1986, 0.2015, 0.2094, 0.2404, 0.25, 0.3536, 0.3769, 0.574, 0.7802]",0.35384,breast,0.4511930736384526
