Cell_Line,COMPOUND_A,COMPOUND_B,SYNERGY_SCORE,Tissue
22RV1,CIDs15951529,CIDs54751698,21.6,excretory system
22RV1,CIDs46893585,CIDs54751698,-5.91,excretory system
22RV1,CIDs16659841,CIDs54751698,8.36,excretory system
647V,CIDs15953870,CIDs25227436,18.2,excretory system
647V,CIDs46244453,CIDs25227436,8.46,excretory system
647V,CIDs11375205,CIDs25227436,-1.17,excretory system
647V,CIDs51039095,CIDs25227436,-41.9,excretory system
647V,CIDs00005311,CIDs25227436,-6.31,excretory system
647V,CIDs11955716,CIDs25227436,-21.2,excretory system
647V,CIDs49800198,CIDs25227436,0.624,excretory system
647V,CIDs25262792,CIDs25227436,9.25,excretory system
647V,CIDs23725625,CIDs25227436,21.8,excretory system
647V,CIDs17755052,CIDs25227436,-3.25,excretory system
647V,CIDs54751698,CIDs25227436,1.68,excretory system
647V,CIDs58423153,CIDs25227436,31.1,excretory system
647V,CIDs10302451,CIDs25227436,17.0,excretory system
647V,CIDs00005515,CIDs25227436,10.8,excretory system
647V,CIDs46244453,CIDs15953870,36.5,excretory system
647V,CIDs23725625,CIDs15953870,41.4,excretory system
647V,CIDs23725625,CIDs46244453,24.7,excretory system
647V,CIDs15953870,CIDs72793174,7.95,excretory system
647V,CIDs46244453,CIDs72793174,6.57,excretory system
647V,CIDs00005311,CIDs72793174,3.4,excretory system
647V,CIDs11955716,CIDs72793174,7.55,excretory system
647V,CIDs23725625,CIDs72793174,47.6,excretory system
647V,CIDs25227436,CIDs11152667,18.5,excretory system
647V,CIDs15953870,CIDs11152667,-11.0,excretory system
647V,CIDs46244453,CIDs11152667,66.2,excretory system
647V,CIDs72793174,CIDs11152667,-24.9,excretory system
647V,CIDs11375205,CIDs11152667,-17.4,excretory system
647V,CIDs51039095,CIDs11152667,-23.6,excretory system
647V,CIDs00005311,CIDs11152667,-0.884,excretory system
647V,CIDs11955716,CIDs11152667,-11.6,excretory system
647V,CIDs49800198,CIDs11152667,29.3,excretory system
647V,CIDs10127622,CIDs11152667,-16.6,excretory system
647V,CIDs25262792,CIDs11152667,2.96,excretory system
647V,CIDs23725625,CIDs11152667,42.1,excretory system
647V,CIDs17755052,CIDs11152667,-32.9,excretory system
647V,CIDs54751698,CIDs11152667,20.9,excretory system
647V,CIDs58423153,CIDs11152667,-4.48,excretory system
647V,CIDs10302451,CIDs11152667,-16.3,excretory system
647V,CIDs15953870,CIDs10368812,-7.78,excretory system
647V,CIDs46244453,CIDs10368812,-3.55,excretory system
647V,CIDs00005311,CIDs10368812,-38.7,excretory system
647V,CIDs11955716,CIDs10368812,-21.3,excretory system
647V,CIDs49800198,CIDs10368812,-12.7,excretory system
647V,CIDs23725625,CIDs10368812,-10.8,excretory system
647V,CIDs58423153,CIDs10368812,0.321,excretory system
