CID_1,CID_2,MCC,TC
CIDs56677003,CIDs00148195,-0.0003,0.230769
CIDs56677003,CIDs00003461,-0.0001,0.163347
CIDs56677003,CIDs49867930,-0.0003,0.238281
CIDs56677003,CIDs00004261,-0.0007,0.262673
CIDs56677003,CIDs00005311,0.0447,0.171717
CIDs56677003,CIDs11955716,-0.0002,0.187215
CIDs56677003,CIDs49800198,-0.0001,0.203065
CIDs56677003,CIDs76317450,-0.0001,0.2165349999999999
CIDs56677003,CIDs25227436,-0.0003,0.2921809999999999
CIDs56677003,CIDs24964624,0.1082,0.331897
CIDs56677003,CIDs00148177,0.122,0.0904761999999999
CIDs56677003,CIDs00093860,-0.0003,0.253112
CIDs56677003,CIDs11556711,-0.0004,0.196653
CIDs56677003,CIDs25071599,-0.0001,0.278027
CIDs56677003,CIDs90667118,-0.0001,0.336207
CIDs56677003,CIDs00104842,-0.0008,0.277955
CIDs56677003,CIDs10302451,0.1064,0.374486
CIDs56677003,CIDs11213558,0.062,0.4
CIDs56677003,CIDs03081361,0.0805,0.278481
CIDs56677003,CIDs11167602,-0.0004,0.286307
CIDs56677003,CIDs56673688,0.5773,0.8279569999999999
CIDs56677003,CIDs00005515,-0.0002,0.283439
CIDs56677003,CIDs72793174,-0.0001,0.219081
CIDs56677003,CIDs24978538,-0.0005,0.2401219999999999
CIDs56677003,CIDs10126189,-0.0005,0.22695
CIDs56677003,CIDs11717001,-0.0003,0.2357409999999999
CIDs56677003,CIDs42611257,0.0759,0.273077
CIDs56677003,CIDs70685869,-0.0001,0.315126
CIDs56677003,CIDs11656518,-0.0004,0.35865
CIDs56677003,CIDs11152667,-0.0003,0.206294
CIDs56677003,CIDs25194865,-0.0001,0.3773579999999999
CIDs56677003,CIDs17754438,-0.0005,0.32549
CIDs56677003,CIDs11494412,0.2084,0.215768
CIDs56677003,CIDs11597571,0.1523,0.332031
CIDs56677003,CIDs24998177,-0.0001,0.405983
CIDs56677003,CIDs25262792,-0.0002,0.387234
CIDs56677003,CIDs00148191,-0.0001,0.169065
CIDs56677003,CIDs06442177,0.061,0.165468
CIDs56677003,CIDs45375953,-0.0003,0.243542
CIDs56677003,CIDs11520894,0.1334,0.163823
CIDs56677003,CIDs11640390,0.1923,0.368421
CIDs56677003,CIDs45381890,0.7071,0.703883
CIDs56677003,CIDs56953069,-0.0001,0.282946
CIDs56677003,CIDs16659841,0.1621,0.313901
CIDs56677003,CIDs11707110,0.1168,0.289199
CIDs56677003,CIDs10127622,0.0868,0.300752
CIDs56677003,CIDs16719221,-0.0002,0.2380949999999999
CIDs56677003,CIDs67161792,-0.0001,0.302041
CIDs56677003,CIDs73294313,-0.0001,0.71875
CIDs56677003,CIDs15951529,-0.0003,0.2046329999999999
CIDs56677003,CIDs46893585,-0.0001,0.245614
CIDs56677003,CIDs15953870,-0.0004,0.230263
CIDs56677003,CIDs46244173,-0.0001,0.316794
CIDs56677003,CIDs46244453,-0.0001,0.32197
CIDs56677003,CIDs00001805,-0.0002,0.122363
CIDs56677003,CIDs46836568,-0.0001,0.253086
CIDs56677003,CIDs49846579,-0.0003,0.332317
CIDs56677003,CIDs46930996,-0.0001,0.225397
CIDs56677003,CIDs67970189,-0.0001,0.245059
CIDs56677003,CIDs11327430,-0.0005,0.1623619999999999
CIDs56677003,CIDs00003310,-0.0005,0.18638
CIDs56677003,CIDs56973724,-0.0003,0.29918
CIDs56677003,CIDs00003385,0.0281,0.134715
CIDs56677003,CIDs09933475,-0.0005,0.262295
CIDs56677003,CIDs05311497,0.0918,0.269231
CIDs56677003,CIDs24856436,-0.0004,0.368421
CIDs56677003,CIDs44381568,-0.0001,0.397321
CIDs56677003,CIDs00002719,-0.001,0.226131
CIDs56677003,CIDs76321032,-0.0001,0.412017
CIDs56677003,CIDs56946894,-0.0001,0.403433
CIDs56677003,CIDs00064780,-0.0002,0.210526
